first,last,prediction
1696217200,1696217209,100.0
1696217210,1696217219,100.0
1696217220,1696217229,100.0
1696217230,1696217239,100.0
1696217240,1696217249,99.99998807907104
1696217250,1696217259,99.99997615814209
1696217260,1696217269,100.0
1696217270,1696217279,100.0
1696217280,1696217289,100.0
1696217290,1696217299,99.99949932098389
1696217300,1696217309,99.99997019767761
1696217310,1696217319,99.99991655349731
1696217320,1696217329,100.0
1696217330,1696217339,100.0
1696217340,1696217349,100.0
1696217350,1696217359,100.0
1696217360,1696217369,99.99998807907104
1696217370,1696217379,100.0
1696217380,1696217389,99.99996423721313
1696217390,1696217399,99.99999403953552
1696217400,1696217409,99.99933242797852
1696217410,1696217419,100.0
1696217420,1696217429,99.99964237213135
1696217430,1696217439,99.99999403953552
1696217440,1696217449,99.99964833259583
1696217450,1696217459,99.99994039535522
1696217460,1696217469,99.99998807907104
1696217470,1696217479,100.0
1696217480,1696217489,99.99982118606567
1696217490,1696217499,100.0
1696217500,1696217509,99.99996423721313
1696217510,1696217519,99.99993443489075
1696217520,1696217529,99.99997615814209
1696217530,1696217539,99.99967813491821
1696217540,1696217549,100.0
1696217550,1696217559,99.99999403953552
1696217560,1696217569,100.0
1696217570,1696217579,100.0
1696217580,1696217589,100.0
1696217590,1696217599,99.99995827674866
1696217600,1696217609,100.0
1696217610,1696217619,99.99784231185913
1696217620,1696217629,100.0
1696217630,1696217639,99.99998211860657
1696217640,1696217649,99.99995827674866
1696217650,1696217659,100.0
1696217660,1696217669,100.0
1696217670,1696217679,100.0
1696217680,1696217689,100.0
1696217690,1696217699,100.0
1696217700,1696217709,100.0
1696217710,1696217719,100.0
1696217720,1696217729,100.0
1696217730,1696217739,100.0
1696217740,1696217749,100.0
1696217750,1696217759,100.0
1696217760,1696217769,100.0
1696217770,1696217779,100.0
1696217780,1696217789,100.0
1696217790,1696217799,99.99996423721313
1696217800,1696217809,100.0
1696217810,1696217819,100.0
1696217820,1696217829,100.0
1696217830,1696217839,100.0
1696217840,1696217849,100.0
1696217850,1696217859,100.0
1696217860,1696217869,99.99988079071045
1696217870,1696217879,97.81101942062378
1696217880,1696217889,99.97543096542358
1696217890,1696217899,99.89970922470093
1696217900,1696217909,99.9995231628418
1696217910,1696217919,100.0
1696217920,1696217929,99.99316334724426
1696217930,1696217939,99.89394545555115
1696217940,1696217949,99.99905824661255
1696217950,1696217959,99.99991059303284
1696217960,1696217969,99.99949336051941
1696217970,1696217979,99.99992847442627
1696217980,1696217989,98.75303506851196
1696217990,1696217999,99.85116720199585
1696218000,1696218009,99.99995231628418
1696218010,1696218019,99.99852180480957
1696218020,1696218029,99.9893069267273
1696218030,1696218039,99.9968945980072
1696218040,1696218049,99.68971610069275
1696218050,1696218059,99.99988079071045
1696218060,1696218069,99.98032450675964
1696218070,1696218079,99.99994039535522
1696218080,1696218089,99.99279975891113
1696218090,1696218099,99.99999403953552
1696218100,1696218109,99.99998807907104
1696218110,1696218119,100.0
1696218120,1696218129,100.0
